[fixture] [Mon Aug 31 15:35:39 2026] PHP 8.5.4 Development Server (http://127.0.0.1:8091) started
chromium 151.0.7922.34 (fixture spawned)
tier low-android (low Android (Pixel 4a-class), CPU x6)
  low-android/sha16/inline/cold rep 1/50: solve 90 ms (p2v 151 ms, tx 250773 B, cachehits 0, js 42 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 20/50: solve 203 ms (p2v 263 ms, tx 250774 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 21/50: solve 263 ms (p2v 320 ms, tx 250773 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 22/50: solve 154 ms (p2v 213 ms, tx 250772 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 23/50: solve 146 ms (p2v 199 ms, tx 250771 B, cachehits 0, js 36 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 24/50: solve 157 ms (p2v 217 ms, tx 250774 B, cachehits 0, js 43 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 25/50: solve 85 ms (p2v 146 ms, tx 250771 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 26/50: solve 146 ms (p2v 200 ms, tx 250777 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 27/50: solve 178 ms (p2v 236 ms, tx 250772 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 28/50: solve 115 ms (p2v 170 ms, tx 250774 B, cachehits 0, js 43 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 29/50: solve 408 ms (p2v 468 ms, tx 250772 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 30/50: solve 100 ms (p2v 160 ms, tx 250771 B, cachehits 0, js 44 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 31/50: solve 164 ms (p2v 221 ms, tx 250774 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 32/50: solve 222 ms (p2v 279 ms, tx 250772 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 33/50: solve 237 ms (p2v 293 ms, tx 250773 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 34/50: solve 369 ms (p2v 429 ms, tx 250771 B, cachehits 0, js 42 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 35/50: solve 190 ms (p2v 245 ms, tx 250771 B, cachehits 0, js 36 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 36/50: solve 92 ms (p2v 150 ms, tx 250778 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 37/50: solve 213 ms (p2v 273 ms, tx 250772 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 38/50: solve 226 ms (p2v 285 ms, tx 250775 B, cachehits 0, js 43 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 39/50: solve 95 ms (p2v 152 ms, tx 250772 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 40/50: solve 90 ms (p2v 147 ms, tx 250771 B, cachehits 0, js 36 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 41/50: solve 212 ms (p2v 271 ms, tx 250773 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 42/50: solve 179 ms (p2v 236 ms, tx 250771 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 43/50: solve 165 ms (p2v 224 ms, tx 250771 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 44/50: solve 188 ms (p2v 244 ms, tx 250775 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 45/50: solve 169 ms (p2v 224 ms, tx 250773 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 46/50: solve 101 ms (p2v 159 ms, tx 250771 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 47/50: solve 290 ms (p2v 346 ms, tx 250771 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 48/50: solve 160 ms (p2v 213 ms, tx 250773 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 49/50: solve 185 ms (p2v 238 ms, tx 250773 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 50/50: solve 74 ms (p2v 129 ms, tx 250771 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm pre-warmed the context (rep 0 discarded)

  low-android/sha16/inline/warm rep 1/50: solve 222 ms (p2v 280 ms, tx 250772 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 2/50: solve 487 ms (p2v 545 ms, tx 250775 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 3/50: solve 107 ms (p2v 166 ms, tx 250771 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 4/50: solve 365 ms (p2v 425 ms, tx 250773 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 5/50: solve 201 ms (p2v 260 ms, tx 250775 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 6/50: solve 185 ms (p2v 244 ms, tx 250772 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 7/50: solve 505 ms (p2v 564 ms, tx 250772 B, cachehits 0, js 42 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 8/50: solve 155 ms (p2v 213 ms, tx 250771 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 9/50: solve 108 ms (p2v 166 ms, tx 250771 B, cachehits 0, js 36 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 10/50: solve 187 ms (p2v 248 ms, tx 250772 B, cachehits 0, js 44 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 11/50: solve 209 ms (p2v 275 ms, tx 250778 B, cachehits 0, js 42 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 12/50: solve 96 ms (p2v 156 ms, tx 250771 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 13/50: solve 180 ms (p2v 240 ms, tx 250772 B, cachehits 0, js 42 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 14/50: solve 295 ms (p2v 351 ms, tx 250771 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 15/50: solve 194 ms (p2v 250 ms, tx 250771 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 16/50: solve 197 ms (p2v 259 ms, tx 250771 B, cachehits 0, js 42 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 17/50: solve 195 ms (p2v 253 ms, tx 250772 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 18/50: solve 312 ms (p2v 370 ms, tx 250772 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 19/50: solve 207 ms (p2v 264 ms, tx 250772 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 20/50: solve 320 ms (p2v 377 ms, tx 250771 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 21/50: solve 105 ms (p2v 163 ms, tx 250771 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 22/50: solve 80 ms (p2v 136 ms, tx 250772 B, cachehits 0, js 36 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 23/50: solve 139 ms (p2v 198 ms, tx 250771 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 24/50: solve 259 ms (p2v 316 ms, tx 250772 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 25/50: solve 362 ms (p2v 419 ms, tx 250771 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 26/50: solve 131 ms (p2v 187 ms, tx 250771 B, cachehits 0, js 36 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 27/50: solve 214 ms (p2v 271 ms, tx 250771 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 28/50: solve 157 ms (p2v 214 ms, tx 250773 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 29/50: solve 108 ms (p2v 164 ms, tx 250771 B, cachehits 0, js 34 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 30/50: solve 207 ms (p2v 265 ms, tx 250773 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 31/50: solve 227 ms (p2v 287 ms, tx 250772 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 32/50: solve 211 ms (p2v 269 ms, tx 250772 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 33/50: solve 125 ms (p2v 185 ms, tx 250771 B, cachehits 0, js 35 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 34/50: solve 228 ms (p2v 287 ms, tx 250775 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 35/50: solve 88 ms (p2v 146 ms, tx 250772 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 36/50: solve 221 ms (p2v 281 ms, tx 250775 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 37/50: solve 126 ms (p2v 193 ms, tx 250773 B, cachehits 0, js 45 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 38/50: solve 304 ms (p2v 368 ms, tx 250772 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 39/50: solve 147 ms (p2v 207 ms, tx 250771 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 40/50: solve 362 ms (p2v 421 ms, tx 250772 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 41/50: solve 293 ms (p2v 353 ms, tx 250772 B, cachehits 0, js 35 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 42/50: solve 102 ms (p2v 166 ms, tx 250771 B, cachehits 0, js 43 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 43/50: solve 135 ms (p2v 197 ms, tx 250773 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 44/50: solve 140 ms (p2v 204 ms, tx 250775 B, cachehits 0, js 44 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 45/50: solve 168 ms (p2v 230 ms, tx 250771 B, cachehits 0, js 42 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 46/50: solve 147 ms (p2v 211 ms, tx 250773 B, cachehits 0, js 45 ms, wasmC - ms, longtasks 1(51 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 47/50: solve 136 ms (p2v 195 ms, tx 250771 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 48/50: solve 97 ms (p2v 157 ms, tx 250772 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 49/50: solve 324 ms (p2v 382 ms, tx 250771 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 1(51 ms), heap 9.5 MB)
  low-android/sha16/inline/warm rep 50/50: solve 192 ms (p2v 252 ms, tx 250773 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  repeat navigation low-android/sha16/inline/warm: p2v 347 ms, tx 250771 B, cachehits 0, load 62 ms
  low-android/sha18/inline/cold rep 1/50: solve 87 ms (p2v 140 ms, tx 250772 B, cachehits 0, js 36 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 2/50: solve 707 ms (p2v 764 ms, tx 250772 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 3/50: solve 543 ms (p2v 602 ms, tx 250771 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 1(50 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 4/50: solve 341 ms (p2v 391 ms, tx 250775 B, cachehits 0, js 35 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 5/50: solve 127 ms (p2v 180 ms, tx 250771 B, cachehits 0, js 36 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 6/50: solve 121 ms (p2v 172 ms, tx 250776 B, cachehits 0, js 34 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 7/50: solve 152 ms (p2v 206 ms, tx 250771 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 8/50: solve 579 ms (p2v 635 ms, tx 250773 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 9/50: solve 421 ms (p2v 477 ms, tx 250771 B, cachehits 0, js 36 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 10/50: solve 126 ms (p2v 180 ms, tx 250773 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 11/50: solve 598 ms (p2v 649 ms, tx 250771 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 12/50: solve 236 ms (p2v 291 ms, tx 250776 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 13/50: solve 161 ms (p2v 220 ms, tx 250772 B, cachehits 0, js 43 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 14/50: solve 606 ms (p2v 660 ms, tx 250773 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 15/50: solve 261 ms (p2v 322 ms, tx 250773 B, cachehits 0, js 44 ms, wasmC - ms, longtasks 1(50 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 16/50: solve 166 ms (p2v 223 ms, tx 250772 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 17/50: solve 1991 ms (p2v 2044 ms, tx 250772 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 18/50: solve 1261 ms (p2v 1315 ms, tx 250771 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 19/50: solve 118 ms (p2v 173 ms, tx 250771 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 20/50: solve 244 ms (p2v 301 ms, tx 250774 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 21/50: solve 686 ms (p2v 740 ms, tx 250771 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 22/50: solve 1361 ms (p2v 1420 ms, tx 250772 B, cachehits 0, js 43 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 23/50: solve 669 ms (p2v 726 ms, tx 250771 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 24/50: solve 104 ms (p2v 159 ms, tx 250773 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 25/50: solve 579 ms (p2v 635 ms, tx 250774 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 26/50: solve 542 ms (p2v 598 ms, tx 250772 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 27/50: solve 454 ms (p2v 511 ms, tx 250771 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 28/50: solve 174 ms (p2v 228 ms, tx 250771 B, cachehits 0, js 37 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 29/50: solve 238 ms (p2v 291 ms, tx 250771 B, cachehits 0, js 36 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 30/50: solve 86 ms (p2v 139 ms, tx 250772 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 31/50: solve 486 ms (p2v 541 ms, tx 250771 B, cachehits 0, js 45 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 32/50: solve 767 ms (p2v 827 ms, tx 250773 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 33/50: solve 243 ms (p2v 301 ms, tx 250772 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 34/50: solve 464 ms (p2v 522 ms, tx 250772 B, cachehits 0, js 47 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 35/50: solve 330 ms (p2v 392 ms, tx 250771 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 36/50: solve 100 ms (p2v 160 ms, tx 250773 B, cachehits 0, js 43 ms, wasmC - ms, longtasks 1(50 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 37/50: solve 822 ms (p2v 880 ms, tx 250771 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 38/50: solve 457 ms (p2v 536 ms, tx 250772 B, cachehits 0, js 53 ms, wasmC - ms, longtasks 1(68 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 39/50: solve 1003 ms (p2v 1087 ms, tx 250772 B, cachehits 0, js 58 ms, wasmC - ms, longtasks 1(71 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 40/50: solve 1423 ms (p2v 1548 ms, tx 250771 B, cachehits 0, js 19 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 41/50: solve 162 ms (p2v 315 ms, tx 250771 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 42/50: solve 264 ms (p2v 402 ms, tx 250771 B, cachehits 0, js 20 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 43/50: solve 662 ms (p2v 790 ms, tx 250775 B, cachehits 0, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 44/50: solve 230 ms (p2v 311 ms, tx 250773 B, cachehits 0, js 57 ms, wasmC - ms, longtasks 1(62 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 45/50: solve 1171 ms (p2v 1302 ms, tx 250771 B, cachehits 0, js 21 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 46/50: solve 787 ms (p2v 874 ms, tx 250771 B, cachehits 0, js 62 ms, wasmC - ms, longtasks 1(66 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 47/50: solve 392 ms (p2v 472 ms, tx 250773 B, cachehits 0, js 57 ms, wasmC - ms, longtasks 1(74 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 48/50: solve 204 ms (p2v 285 ms, tx 250771 B, cachehits 0, js 55 ms, wasmC - ms, longtasks 1(74 ms), heap 9.5 MB)
  low-android/sha18/inline/cold rep 49/50: solve 519 ms (p2v 673 ms, tx 250772 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
